ship_mode,segment,country,city,state,postal_code,region,category,sub-category,sales,quantity,discount,profit,discount_level,discount_amount,profit_per_item
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Appliances,61.44,3,0.0,16.5888,No Discount,0.0,5.529599999999999
Standard Class,Consumer,United States,Detroit,Michigan,48227,Central,Office Supplies,Binders,895.92,4,0.0,421.0824,No Discount,0.0,105.2706
Second Class,Consumer,United States,Stockton,California,95207,West,Office Supplies,Binders,55.36,4,0.2,18.684,Medium Discount,11.072000000000001,4.671
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,55.92,5,0.2,6.291,Medium Discount,11.184000000000001,1.2582
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Envelopes,24.896,4,0.2,8.4024,Medium Discount,4.9792000000000005,2.1006
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Furniture,Furnishings,3.984,1,0.2,0.6474,Medium Discount,0.7968000000000001,0.6474
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Technology,Accessories,95.968,4,0.2,28.7904,Medium Discount,19.1936,7.1976
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Technology,Machines,206.991,3,0.7,-172.4925,High Discount,144.8937,-57.4975
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Appliances,44.416,2,0.2,3.8864,Medium Discount,8.8832,1.9432
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Binders,9.006,2,0.7,-7.2048,High Discount,6.3042,-3.6024
Standard Class,Home Office,United States,Sterling Heights,Michigan,48310,Central,Office Supplies,Binders,19.0,5,0.0,8.93,No Discount,0.0,1.786
Standard Class,Home Office,United States,Rochester,New York,14609,East,Office Supplies,Binders,33.376,4,0.2,10.43,Medium Discount,6.6752,2.6075
First Class,Home Office,United States,New York City,New York,10011,East,Office Supplies,Appliances,207.48,1,0.0,62.244,No Discount,0.0,62.244
Standard Class,Home Office,United States,Eau Claire,Wisconsin,54703,Central,Office Supplies,Binders,91.68,3,0.0,45.84,No Discount,0.0,15.280000000000001
First Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Appliances,904.9,5,0.0,253.372,No Discount,0.0,50.674400000000006
Standard Class,Consumer,United States,Rancho Cucamonga,California,91730,West,Office Supplies,Binders,34.272,3,0.2,11.1384,Medium Discount,6.8544,3.7128
First Class,Consumer,United States,Murray,Kentucky,42071,South,Furniture,Furnishings,191.82,3,0.0,74.8098,No Discount,0.0,24.9366
Standard Class,Corporate,United States,Toledo,Ohio,43615,East,Office Supplies,Appliances,243.88,5,0.2,27.4365,Medium Discount,48.776,5.487299999999999
Standard Class,Home Office,United States,Louisville,Colorado,80027,West,Office Supplies,Binders,12.03,5,0.7,-9.223,High Discount,8.421,-1.8446000000000002
Standard Class,Home Office,United States,Louisville,Colorado,80027,West,Technology,Machines,2549.985,5,0.7,-3399.98,High Discount,1784.9895,-679.996
Standard Class,Home Office,United States,Louisville,Colorado,80027,West,Office Supplies,Binders,21.594,2,0.7,-15.8356,High Discount,15.1158,-7.9178
Standard Class,Home Office,United States,Louisville,Colorado,80027,West,Office Supplies,Binders,8.964,6,0.7,-6.5736,High Discount,6.2748,-1.0956
Standard Class,Home Office,United States,Louisville,Colorado,80027,West,Office Supplies,Paper,20.736,4,0.2,7.2576,Medium Discount,4.147200000000001,1.8144
Standard Class,Home Office,United States,New York City,New York,10035,East,Furniture,Tables,344.22,2,0.4,-103.266,Medium Discount,137.68800000000002,-51.633
Standard Class,Home Office,United States,Pharr,Texas,78577,Central,Office Supplies,Storage,727.296,8,0.2,-172.7328,Medium Discount,145.4592,-21.5916
Standard Class,Home Office,United States,Pharr,Texas,78577,Central,Furniture,Furnishings,22.608,3,0.6,-10.1736,High Discount,13.5648,-3.3912
Standard Class,Home Office,United States,Pharr,Texas,78577,Central,Technology,Accessories,666.4,7,0.2,-33.32,Medium Discount,133.28,-4.76
Standard Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Fasteners,5.04,3,0.0,0.2016,No Discount,0.0,0.0672
Standard Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Paper,92.94,3,0.0,41.823,No Discount,0.0,13.941
Standard Class,Consumer,United States,West Jordan,Utah,84084,West,Furniture,Furnishings,66.69,3,0.0,22.0077,No Discount,0.0,7.3359
Standard Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Binders,91.68,5,0.2,28.65,Medium Discount,18.336000000000002,5.7299999999999995
Standard Class,Consumer,United States,Brownsville,Texas,78521,Central,Furniture,Bookcases,327.7328,2,0.32,-14.4588,Medium Discount,104.87449600000001,-7.2294
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Binders,52.272,11,0.2,17.6418,Medium Discount,10.4544,1.6038
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Paper,17.94,3,0.0,8.073,No Discount,0.0,2.6910000000000003
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,254.352,3,0.2,0.0,Medium Discount,50.870400000000004,0.0
Same Day,Corporate,United States,Billings,Montana,59102,West,Office Supplies,Binders,8.288,2,0.2,2.6936,Medium Discount,1.6576000000000002,1.3468
Standard Class,Consumer,United States,Chesapeake,Virginia,23320,South,Furniture,Chairs,504.9,5,0.0,80.784,No Discount,0.0,16.1568
Standard Class,Corporate,United States,Gresham,Oregon,97030,West,Technology,Phones,403.168,4,0.2,25.198,Medium Discount,80.6336,6.2995
Standard Class,Corporate,United States,Lincoln Park,Michigan,48146,Central,Furniture,Bookcases,194.32,4,0.0,31.0912,No Discount,0.0,7.7728
Standard Class,Corporate,United States,Lincoln Park,Michigan,48146,Central,Office Supplies,Art,25.99,1,0.0,7.5371,No Discount,0.0,7.5371
Standard Class,Consumer,United States,Gresham,Oregon,97030,West,Furniture,Chairs,195.136,4,0.2,-12.196,Medium Discount,39.0272,-3.049
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Paper,20.736,4,0.2,7.2576,Medium Discount,4.147200000000001,1.8144
Standard Class,Consumer,United States,Monroe,Louisiana,71203,South,Technology,Accessories,53.7,6,0.0,10.203,No Discount,0.0,1.7005
Standard Class,Consumer,United States,Monroe,Louisiana,71203,South,Office Supplies,Binders,36.26,7,0.0,16.6796,No Discount,0.0,2.3828
Standard Class,Consumer,United States,Monroe,Louisiana,71203,South,Office Supplies,Art,56.3,2,0.0,15.764,No Discount,0.0,7.882
Standard Class,Consumer,United States,Monroe,Louisiana,71203,South,Office Supplies,Paper,32.4,5,0.0,15.552,No Discount,0.0,3.1104
Standard Class,Consumer,United States,Monroe,Louisiana,71203,South,Furniture,Furnishings,29.16,2,0.0,10.7892,No Discount,0.0,5.3946
Standard Class,Corporate,United States,Pasadena,California,91104,West,Furniture,Tables,171.288,3,0.2,-6.4233,Medium Discount,34.257600000000004,-2.1411000000000002
Standard Class,Consumer,United States,Chattanooga,Tennessee,37421,South,Furniture,Furnishings,16.72,5,0.2,3.344,Medium Discount,3.344,0.6688
Same Day,Home Office,United States,Long Beach,California,90805,West,Office Supplies,Paper,12.96,2,0.0,6.2208,No Discount,0.0,3.1104
Same Day,Home Office,United States,Long Beach,California,90805,West,Office Supplies,Envelopes,22.18,2,0.0,10.8682,No Discount,0.0,5.4341
Same Day,Home Office,United States,Long Beach,California,90805,West,Furniture,Chairs,2054.272,8,0.2,256.784,Medium Discount,410.8544,32.098
Second Class,Consumer,United States,Troy,Ohio,45373,East,Technology,Phones,1022.97,5,0.4,-255.7425,Medium Discount,409.18800000000005,-51.1485
Second Class,Home Office,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Art,13.9,5,0.0,3.614,No Discount,0.0,0.7228
Second Class,Home Office,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,26.38,1,0.0,12.1348,No Discount,0.0,12.1348
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Binders,43.176,7,0.2,13.4925,Medium Discount,8.635200000000001,1.9275
First Class,Home Office,United States,Columbus,Georgia,31907,South,Furniture,Tables,411.8,2,0.0,70.006,No Discount,0.0,35.003
First Class,Home Office,United States,Columbus,Georgia,31907,South,Technology,Accessories,360.0,4,0.0,129.6,No Discount,0.0,32.4
Standard Class,Home Office,United States,Meridian,Idaho,83642,West,Furniture,Furnishings,41.96,2,0.0,2.9372,No Discount,0.0,1.4686
Standard Class,Home Office,United States,Meridian,Idaho,83642,West,Office Supplies,Appliances,227.84,4,0.0,66.0736,No Discount,0.0,16.5184
Standard Class,Home Office,United States,Meridian,Idaho,83642,West,Office Supplies,Paper,37.94,2,0.0,18.2112,No Discount,0.0,9.1056
Second Class,Home Office,United States,Detroit,Michigan,48227,Central,Technology,Phones,517.9,2,0.0,134.654,No Discount,0.0,67.327
Second Class,Home Office,United States,Detroit,Michigan,48227,Central,Office Supplies,Binders,5.28,2,0.0,2.4288,No Discount,0.0,1.2144
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Technology,Copiers,2799.96,5,0.2,874.9875,Medium Discount,559.9920000000001,174.9975
Second Class,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Envelopes,8.96,2,0.0,4.3008,No Discount,0.0,2.1504
Second Class,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Labels,31.5,10,0.0,15.12,No Discount,0.0,1.512
Second Class,Corporate,United States,San Francisco,California,94110,West,Furniture,Furnishings,30.56,2,0.0,10.3904,No Discount,0.0,5.1952
Second Class,Corporate,United States,San Francisco,California,94110,West,Furniture,Tables,24.368,2,0.2,-3.3506,Medium Discount,4.8736,-1.6753
Standard Class,Corporate,United States,Newark,Ohio,43055,East,Technology,Accessories,119.976,3,0.2,22.4955,Medium Discount,23.9952,7.4985
Standard Class,Consumer,United States,Dallas,Texas,75081,Central,Office Supplies,Paper,26.88,8,0.2,9.744,Medium Discount,5.376,1.218
First Class,Corporate,United States,Newark,Delaware,19711,East,Technology,Phones,83.97,3,0.0,23.5116,No Discount,0.0,7.8372
First Class,Corporate,United States,Newark,Delaware,19711,East,Technology,Accessories,104.97,3,0.0,7.3479,No Discount,0.0,2.4493
Second Class,Home Office,United States,Albuquerque,New Mexico,87105,West,Office Supplies,Storage,90.8,8,0.0,25.424,No Discount,0.0,3.178
Second Class,Home Office,United States,Albuquerque,New Mexico,87105,West,Technology,Phones,140.736,8,0.2,49.2576,Medium Discount,28.147199999999998,6.1572
Second Class,Home Office,United States,Albuquerque,New Mexico,87105,West,Technology,Accessories,214.95,5,0.0,88.1295,No Discount,0.0,17.625899999999998
Second Class,Home Office,United States,Albuquerque,New Mexico,87105,West,Office Supplies,Paper,45.36,7,0.0,21.7728,No Discount,0.0,3.1104
Second Class,Home Office,United States,Albuquerque,New Mexico,87105,West,Office Supplies,Paper,288.24,6,0.0,138.3552,No Discount,0.0,23.0592
Same Day,Home Office,United States,Toledo,Ohio,43615,East,Office Supplies,Appliances,663.936,4,0.2,82.992,Medium Discount,132.7872,20.748
Standard Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Storage,2934.33,7,0.0,792.2691,No Discount,0.0,113.1813
Standard Class,Corporate,United States,Newark,Delaware,19711,East,Furniture,Furnishings,124.41,3,0.0,14.9292,No Discount,0.0,4.9764
Standard Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Art,57.75,5,0.0,26.565,No Discount,0.0,5.313000000000001
First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Storage,114.46,2,0.0,28.615,No Discount,0.0,14.3075
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Bookcases,120.666,2,0.15,18.4548,Low Discount,18.099899999999998,9.2274
Standard Class,Home Office,United States,Dallas,Texas,75217,Central,Office Supplies,Storage,342.864,3,0.2,38.5722,Medium Discount,68.5728,12.8574
Standard Class,Home Office,United States,Dallas,Texas,75217,Central,Furniture,Furnishings,16.74,5,0.6,-14.229,High Discount,10.043999999999999,-2.8457999999999997
Standard Class,Home Office,United States,Dallas,Texas,75217,Central,Furniture,Chairs,981.372,2,0.3,-140.196,Medium Discount,294.41159999999996,-70.098
Standard Class,Home Office,United States,San Diego,California,92037,West,Office Supplies,Art,31.84,8,0.0,10.5072,No Discount,0.0,1.3134
First Class,Home Office,United States,Apple Valley,California,92307,West,Office Supplies,Paper,12.96,2,0.0,6.2208,No Discount,0.0,3.1104
First Class,Home Office,United States,Apple Valley,California,92307,West,Technology,Phones,43.176,3,0.2,15.1116,Medium Discount,8.635200000000001,5.0371999999999995
Standard Class,Home Office,United States,Louisville,Kentucky,40214,South,Office Supplies,Binders,58.34,2,0.0,28.0032,No Discount,0.0,14.0016
Standard Class,Home Office,United States,Louisville,Kentucky,40214,South,Technology,Phones,539.97,3,0.0,134.9925,No Discount,0.0,44.9975
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Binders,3.928,1,0.2,1.3257,Medium Discount,0.7856000000000001,1.3257
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Binders,252.784,4,0.8,-417.0936,High Discount,202.2272,-104.2734
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Technology,Accessories,127.984,2,0.2,15.998,Medium Discount,25.5968,7.999
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,3.984,2,0.6,-2.6892,High Discount,2.3904,-1.3446
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Appliances,12.992,2,0.8,-32.48,High Discount,10.393600000000001,-16.24
Second Class,Home Office,United States,Henderson,Kentucky,42420,South,Furniture,Furnishings,61.0,5,0.0,25.62,No Discount,0.0,5.1240000000000006
Second Class,Home Office,United States,Henderson,Kentucky,42420,South,Technology,Phones,671.93,7,0.0,188.1404,No Discount,0.0,26.8772
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Office Supplies,Binders,447.86,7,0.0,219.4514,No Discount,0.0,31.3502
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Technology,Phones,479.95,5,0.0,129.5865,No Discount,0.0,25.9173
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Office Supplies,Paper,166.44,3,0.0,79.8912,No Discount,0.0,26.630399999999998
Same Day,Consumer,United States,Bolingbrook,Illinois,60440,Central,Office Supplies,Supplies,31.68,4,0.2,2.772,Medium Discount,6.336,0.693
Same Day,Consumer,United States,Bolingbrook,Illinois,60440,Central,Office Supplies,Paper,10.368,2,0.2,3.6288,Medium Discount,2.0736000000000003,1.8144
Same Day,Consumer,United States,Bolingbrook,Illinois,60440,Central,Office Supplies,Fasteners,12.032,8,0.2,2.256,Medium Discount,2.4064,0.282
Same Day,Consumer,United States,Bolingbrook,Illinois,60440,Central,Office Supplies,Appliances,5.768,2,0.8,-13.5548,High Discount,4.6144,-6.7774
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Office Supplies,Labels,33.12,4,0.2,11.592,Medium Discount,6.624,2.898
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Furniture,Bookcases,220.2656,4,0.32,-42.1096,Medium Discount,70.484992,-10.5274
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Binders,10.776,3,0.2,3.5022,Medium Discount,2.1552000000000002,1.1674
Standard Class,Consumer,United States,New York City,New York,10024,East,Furniture,Bookcases,242.352,3,0.2,9.0882,Medium Discount,48.470400000000005,3.0294000000000003
Second Class,Corporate,United States,Providence,Rhode Island,2908,East,Office Supplies,Supplies,695.16,6,0.0,34.758,No Discount,0.0,5.793
Second Class,Corporate,United States,Providence,Rhode Island,2908,East,Furniture,Bookcases,220.98,1,0.0,50.8254,No Discount,0.0,50.8254
Standard Class,Home Office,United States,Columbus,Ohio,43229,East,Office Supplies,Binders,12.957,7,0.7,-9.5018,High Discount,9.0699,-1.3574
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Paper,25.68,6,0.0,11.556,No Discount,0.0,1.926
Standard Class,Corporate,United States,Houston,Texas,77070,Central,Office Supplies,Labels,15.712,4,0.2,5.6956,Medium Discount,3.1424000000000003,1.4239
Standard Class,Home Office,United States,Aurora,Illinois,60505,Central,Office Supplies,Storage,298.464,6,0.2,26.1156,Medium Discount,59.692800000000005,4.3526
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Paper,21.93,3,0.0,10.0878,No Discount,0.0,3.3626
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Storage,242.94,3,0.0,4.8588,No Discount,0.0,1.6196
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Paper,7.64,1,0.0,3.7436,No Discount,0.0,3.7436
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Paper,51.84,8,0.0,25.4016,No Discount,0.0,3.1752
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Storage,265.17,1,0.0,47.7306,No Discount,0.0,47.7306
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Technology,Machines,837.6,3,0.2,62.82,Medium Discount,167.52,20.94
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Envelopes,135.9,5,0.0,63.873,No Discount,0.0,12.7746
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Paper,34.68,6,0.0,16.9932,No Discount,0.0,2.8322000000000003
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Furniture,Chairs,532.704,6,0.2,-39.9528,Medium Discount,106.54079999999999,-6.6588
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Appliances,43.1,5,0.0,11.206,No Discount,0.0,2.2412
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Supplies,15.88,4,0.0,0.1588,No Discount,0.0,0.0397
First Class,Corporate,United States,Lakeland,Florida,33801,South,Furniture,Chairs,1123.92,5,0.2,-182.637,Medium Discount,224.78400000000002,-36.5274
First Class,Corporate,United States,Lakeland,Florida,33801,South,Technology,Phones,249.584,2,0.2,31.198,Medium Discount,49.9168,15.599
First Class,Corporate,United States,Lakeland,Florida,33801,South,Furniture,Furnishings,48.672,3,0.2,7.3008,Medium Discount,9.7344,2.4335999999999998
First Class,Corporate,United States,Lakeland,Florida,33801,South,Office Supplies,Art,60.768,2,0.2,7.596,Medium Discount,12.1536,3.798
First Class,Corporate,United States,Lakeland,Florida,33801,South,Office Supplies,Binders,78.6,5,0.7,-62.88,High Discount,55.019999999999996,-12.576
First Class,Corporate,United States,Lakeland,Florida,33801,South,Office Supplies,Binders,3.768,2,0.7,-3.14,High Discount,2.6375999999999995,-1.57
First Class,Corporate,United States,Lakeland,Florida,33801,South,Office Supplies,Storage,1036.624,2,0.2,51.8312,Medium Discount,207.3248,25.9156
First Class,Corporate,United States,Lakeland,Florida,33801,South,Office Supplies,Storage,563.808,4,0.2,21.1428,Medium Discount,112.7616,5.2857
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,258.528,2,0.4,-47.3968,Medium Discount,103.41120000000001,-23.6984
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Paper,49.12,4,0.0,23.0864,No Discount,0.0,5.7716
First Class,Home Office,United States,Los Angeles,California,90049,West,Furniture,Furnishings,44.46,2,0.0,14.6718,No Discount,0.0,7.3359
First Class,Home Office,United States,Los Angeles,California,90049,West,Furniture,Chairs,241.568,2,0.2,18.1176,Medium Discount,48.31360000000001,9.0588
First Class,Home Office,United States,Los Angeles,California,90049,West,Technology,Accessories,395.0,5,0.0,39.5,No Discount,0.0,7.9
First Class,Home Office,United States,Los Angeles,California,90049,West,Technology,Phones,627.168,4,0.2,70.5564,Medium Discount,125.43360000000001,17.6391
First Class,Corporate,United States,Oceanside,New York,11572,East,Furniture,Furnishings,13.28,2,0.0,6.3744,No Discount,0.0,3.1872
First Class,Corporate,United States,Oceanside,New York,11572,East,Office Supplies,Binders,12.672,3,0.2,4.4352,Medium Discount,2.5344,1.4784
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Office Supplies,Binders,30.56,5,0.8,-45.84,High Discount,24.448,-9.168000000000001
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Office Supplies,Storage,77.952,3,0.2,-15.5904,Medium Discount,15.5904,-5.1968000000000005
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Technology,Phones,67.992,1,0.2,8.499,Medium Discount,13.598400000000002,8.499
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Office Supplies,Envelopes,12.224,2,0.2,4.4312,Medium Discount,2.4448000000000003,2.2156
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Technology,Accessories,44.784,2,0.2,-0.5598,Medium Discount,8.9568,-0.2799
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Furniture,Furnishings,22.848,3,0.6,-17.7072,High Discount,13.708799999999998,-5.9024
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Appliances,206.43,3,0.0,90.8292,No Discount,0.0,30.2764
Same Day,Corporate,United States,San Antonio,Texas,78207,Central,Office Supplies,Binders,210.392,2,0.8,-336.6272,High Discount,168.3136,-168.3136
Second Class,Consumer,United States,Cincinnati,Ohio,45231,East,Technology,Accessories,119.96,5,0.2,35.988,Medium Discount,23.992,7.1975999999999996
Second Class,Consumer,United States,Cincinnati,Ohio,45231,East,Office Supplies,Art,10.608,6,0.2,0.9282,Medium Discount,2.1216000000000004,0.1547
Standard Class,Corporate,United States,Austin,Texas,78745,Central,Furniture,Chairs,347.802,7,0.3,-24.843,Medium Discount,104.34060000000001,-3.549
Second Class,Corporate,United States,Seattle,Washington,98105,West,Furniture,Chairs,963.136,4,0.2,108.3528,Medium Discount,192.62720000000002,27.0882
Second Class,Corporate,United States,Seattle,Washington,98105,West,Technology,Phones,88.776,3,0.2,7.7679,Medium Discount,17.7552,2.5893
Second Class,Corporate,United States,Los Angeles,California,90004,West,Office Supplies,Art,32.4,5,0.0,10.368,No Discount,0.0,2.0736
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Paper,32.4,5,0.0,15.552,No Discount,0.0,3.1104
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Labels,31.05,3,0.0,14.904,No Discount,0.0,4.968
First Class,Consumer,United States,Newark,Ohio,43055,East,Technology,Accessories,2025.36,6,0.2,607.608,Medium Discount,405.072,101.26799999999999
First Class,Consumer,United States,Newark,Ohio,43055,East,Technology,Machines,1799.994,2,0.7,-2639.9912,High Discount,1259.9958,-1319.9956
First Class,Consumer,United States,Newark,Ohio,43055,East,Technology,Phones,101.988,2,0.4,-16.998,Medium Discount,40.7952,-8.499
First Class,Consumer,United States,Newark,Ohio,43055,East,Furniture,Furnishings,262.864,7,0.2,69.0018,Medium Discount,52.5728,9.8574
Standard Class,Corporate,United States,Maple Grove,Minnesota,55369,Central,Office Supplies,Binders,735.98,2,0.0,331.191,No Discount,0.0,165.5955
Second Class,Home Office,United States,Glendale,Arizona,85301,West,Office Supplies,Paper,93.024,3,0.2,33.7212,Medium Discount,18.6048,11.240400000000001
Standard Class,Corporate,United States,New York City,New York,10009,East,Furniture,Tables,284.364,2,0.4,-75.8304,Medium Discount,113.7456,-37.9152
Standard Class,Corporate,United States,New York City,New York,10009,East,Technology,Accessories,26.0,2,0.0,11.7,No Discount,0.0,5.85
First Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Storage,67.64,5,0.2,5.9185,Medium Discount,13.528,1.1837
First Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Technology,Accessories,119.976,3,0.2,-17.9964,Medium Discount,23.9952,-5.9988
Second Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Binders,5.18,5,0.8,-8.029,High Discount,4.144,-1.6058
Standard Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Envelopes,15.56,2,0.0,7.3132,No Discount,0.0,3.6566
Standard Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Envelopes,78.35,5,0.0,36.8245,No Discount,0.0,7.3649000000000004
Standard Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,59.52,3,0.0,15.4752,No Discount,0.0,5.158399999999999
Standard Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Paper,38.52,9,0.0,17.334,No Discount,0.0,1.926
Standard Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,239.984,2,0.2,23.9984,Medium Discount,47.99680000000001,11.9992
Standard Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Paper,19.35,3,0.0,9.4815,No Discount,0.0,3.1605000000000003
First Class,Consumer,United States,Lansing,Michigan,48911,Central,Furniture,Furnishings,67.0,5,0.0,32.16,No Discount,0.0,6.4319999999999995
Standard Class,Corporate,United States,Tallahassee,Florida,32303,South,Furniture,Chairs,390.272,8,0.2,-24.392,Medium Discount,78.0544,-3.049
Standard Class,Corporate,United States,Tallahassee,Florida,32303,South,Office Supplies,Paper,62.192,13,0.2,19.435,Medium Discount,12.438400000000001,1.4949999999999999
Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Office Supplies,Binders,23.88,6,0.0,11.2236,No Discount,0.0,1.8705999999999998
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,3.168,2,0.8,-4.752,High Discount,2.5344,-2.376
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,Chairs,528.43,5,0.3,0.0,Medium Discount,158.52899999999997,0.0
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Art,13.392,3,0.2,1.5066,Medium Discount,2.6784,0.5022
Standard Class,Consumer,United States,Detroit,Michigan,48227,Central,Office Supplies,Art,181.86,7,0.0,50.9208,No Discount,0.0,7.2744
Standard Class,Consumer,United States,Fort Collins,Colorado,80525,West,Furniture,Bookcases,180.588,2,0.7,-240.784,High Discount,126.41159999999999,-120.392
Standard Class,Consumer,United States,Fort Collins,Colorado,80525,West,Technology,Accessories,47.984,2,0.2,0.5998,Medium Discount,9.5968,0.2999
Same Day,Consumer,United States,New York City,New York,10024,East,Office Supplies,Paper,18.76,2,0.0,9.0048,No Discount,0.0,4.5024
Standard Class,Corporate,United States,New York City,New York,10011,East,Furniture,Furnishings,20.94,3,0.0,6.0726,No Discount,0.0,2.0242
Standard Class,Corporate,United States,New York City,New York,10011,East,Furniture,Furnishings,58.68,2,0.0,18.1908,No Discount,0.0,9.0954
Standard Class,Corporate,United States,New York City,New York,10011,East,Office Supplies,Appliances,254.9,5,0.0,68.823,No Discount,0.0,13.764599999999998
Second Class,Corporate,United States,Columbia,Maryland,21044,East,Office Supplies,Binders,9.64,2,0.0,4.4344,No Discount,0.0,2.2172
Second Class,Corporate,United States,Columbia,Maryland,21044,East,Technology,Accessories,826.62,3,0.0,355.4466,No Discount,0.0,118.48219999999999
Second Class,Corporate,United States,Columbia,Maryland,21044,East,Office Supplies,Storage,1633.14,9,0.0,473.6106,No Discount,0.0,52.6234
Second Class,Corporate,United States,Columbia,Maryland,21044,East,Office Supplies,Storage,544.38,3,0.0,157.8702,No Discount,0.0,52.623400000000004
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders,26.046,3,0.8,-44.2782,High Discount,20.8368,-14.7594
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes,74.352,3,0.2,26.9526,Medium Discount,14.870400000000002,8.9842
Standard Class,Corporate,United States,Lowell,Massachusetts,1852,East,Technology,Phones,69.93,7,0.0,32.1678,No Discount,0.0,4.5954
Second Class,Corporate,United States,Woodland,California,95695,West,Office Supplies,Labels,3.75,1,0.0,1.8,No Discount,0.0,1.8
